created_at,article,pageid,user,bytes,comment,project
2026-09-23T11:41:42Z,بحيرة_ساكاتانيكوتشا,10520650,أحمد البرلسي,653,"أُنشئَت بترجمة الصفحة ""[[:en:Special:Redirect/revision/1366269158|Lake Sacacanicocha]]""",ar.wikipedia.org
2026-09-23T11:46:38Z,بحيرة_ساشافاكايوك,10520654,أحمد البرلسي,1158,"أُنشئَت بترجمة الصفحة ""[[:en:Special:Redirect/revision/1366269197|Lake Sachavacayoc]]""",ar.wikipedia.org
2026-09-23T11:51:16Z,بحيرة_ساكراكوتشا,10520655,أحمد البرلسي,652,"أُنشئَت بترجمة الصفحة ""[[:en:Special:Redirect/revision/1366269210|Lake Sacracocha]]""",ar.wikipedia.org
2026-09-23T12:18:59Z,سافيتري_سريدهاران,10520672,Zoro arifi,2632,"أُنشئَت بترجمة الصفحة ""[[:en:Special:Redirect/revision/1376294022|Savithri Sreedharan]]""",ar.wikipedia.org
2026-09-23T12:28:46Z,عمخا_يسرائيل,10520675,Adil Faouzi,14749,أنشأ الصفحة ب'{{بطاقة حزب سياسي | اسم = عمخا يسرائيل | اسم رسمي = {{عبرية|עַמְּךָ יִשְׂרָאֵל}} | شعار = Amcha Yisrael.svg | دولة = [[إسرائيل]] | تاريخ_التأسيس = 25 أغسطس 2026 | رئيس = {{وإو|عوفر وينت…,ar.wikipedia.org
2026-09-23T12:33:43Z,أوبتاتوس_ميليتوس,10520677,Melki Afef,7049,"أُنشئَت بترجمة الصفحة ""[[:fr:Special:Redirect/revision/238797858|Optat de Milève]]""",ar.wikipedia.org
2026-09-23T12:34:11Z,لوكهيد_مارتن_إف-16_في_فايبر,10520678,أحمد البرلسي,2004,"أُنشئَت بترجمة الصفحة ""[[:en:Special:Redirect/revision/1374377272|Lockheed Martin F-16V Viper]]""",ar.wikipedia.org
2026-09-23T12:36:50Z,بيبنستر,10520680,Doaa970,2444,/* */,ar.wikipedia.org
2026-09-23T12:41:53Z,حصار_الضلوعية_2006,10520683,العزي الاعرجي,14874,اضافة حدث من اهم احداث منطقة الضلوعية التي تمثل جزءً من المثلث السني الذي شهد احداثاً ساخنة بعد 2003 وهو حصار الضلوعية عام 2006 وقد ذكرت تفصيلاً مستشهداً بمصادر متعددة عن هذا الحدث,ar.wikipedia.org
2026-09-23T12:42:06Z,أحمد_فتح_الله_(مغني),10520684,Xmohashim,18955,إنشاء سيرة الفنان أحمد فتح الله (البندول) موثقة بالمصادر الصحفية والتلفزيونية ومدعمة بالصورة الحرة,ar.wikipedia.org
2026-09-23T12:55:27Z,حصن_تانكرمون,10520686,Doaa970,15275,أنشأ الصفحة ب'{{بطاقة مبنى |الاسم = حصن تانكرمون |الاسم الأصلي = |جزء من = [[موقع لييج المحصن]] |الموقع = [[بيبنستر]]، [[بلجيكا]] |الصورة = [[ملف:Fort vu Tancremont.jpg|300px]] |تعليق = |خريطة الموقع…,ar.wikipedia.org
2026-09-23T13:01:42Z,العباس_بن_عبد_الله_بن_جعفر,10520688,سعيد صالح غرم الله,5887,أنشأ الصفحة ب'{{صندوق معلومات شخص | الاسم = العباس بن عبد الله بن جعفر | لافتة = التابعي الهاشمي القرشي | كنية = أبو الفضل | تاريخ الولادة = القرن الأول الهجري | مكان الولادة = المدينة المنورة، [[الخ…,ar.wikipedia.org
2026-09-23T13:21:45Z,خليف_غرايبه,10520697,~2026-51299-46,10474,تنقيح المحتوى وتحديث المراجع وتحسين التوثيق,ar.wikipedia.org
2026-09-23T13:28:10Z,أبولنز,10520701,Doaa970,5807,/* */,ar.wikipedia.org
2026-09-23T13:30:37Z,خلف_بن_تميم_التميمي,10520704,سعيد صالح غرم الله,8124,أنشأ الصفحة ب'{{ معلومات عالم مسلم | الاسم = خلف بن تميم | اسم_كامل = خلف بن تميم بن أبي عتاب التميمي | لقب = الإمام، الزاهد، الناسك، المحدث | كنية = أبو عبد الرحمن | لون_الخلفية = #FFCC00 | بلد_الإق…,ar.wikipedia.org
2026-09-23T13:45:17Z,بوسيه,10520713,Doaa970,3841,/* */,ar.wikipedia.org
2026-09-23T14:05:48Z,لانس_سان_ريمي,10520720,Doaa970,8513,أنشأ الصفحة ب'{{صندوق معلومات تجمع سكاني | الاسم = لانس سان ريمي | المقاطعة = [[مقاطعة لييج|لييج]] | البلدية = {{BE-vlag|هانو}} | خط العرض = 50 | دقيقة العرض = 39 | ثانية العرض = 16 | خط الطول = 5 |…,ar.wikipedia.org
