created_at,article,pageid,user,bytes,comment,project
2026-09-23T18:15:37Z,Railakan,13985575,J. Patrick Fischer,435,"[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: '''Railakan''' steht für: * [[Railacan]], Aldeia im Suco Estado, Gemeinde Ermera, Osttimor * [[Railacan (O…",de.wikipedia.org
2026-09-23T18:17:34Z,Südamerikaspiele_2026/Segeln,13985577,TWsk,4924,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Olympische Disziplin | Titel = <small>Segeln bei den Südamerikaspielen&nbsp;2026</small> | Logo1…,de.wikipedia.org
2026-09-23T18:25:21Z,Bukundi,13985582,Friedl 11,6174,neu,de.wikipedia.org
2026-09-23T18:27:38Z,Fischeria_bicolor,13985584,Slimguy,5083,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: <!-- Für Informationen zum Umgang mit dieser Vorlage siehe [[Wikipedia:Taxoboxen]]. --> {{Taxobox | Taxon_…,de.wikipedia.org
2026-09-23T18:35:32Z,Minas_Borboudakis,13985594,Toolittle,9990,"[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: '''Minas Borboudakis''' (Μηνάς Μπορμπουδάκης; * [[1974]] in [[Iraklio]]) ist ein griechischer Komponist, P…",de.wikipedia.org
2026-09-23T18:39:45Z,Frederike-Sophie_Gronde-Brunner,13985604,TiLaton,2705,"[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: '''Frederike-Sophie Gronde-Brunner''' (* [[2. März]] [[1985]] in [[Berlin]]<ref name="":1"">{{Internetquelle…",de.wikipedia.org
2026-09-23T18:44:58Z,Joachim_Garbe,13985606,Asperatus,5876,neu,de.wikipedia.org
2026-09-23T19:09:30Z,Liste_der_Landräte_in_Rheinland-Pfalz,13985620,Hansbaer,4313,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: Die '''Liste der Landräte in Rheinland-Pfalz''' enthält alle aktuell amtierenden [[Landrat (Deutschland)|L…,de.wikipedia.org
2026-09-23T19:09:55Z,Moris_Mesac,13985621,J. Patrick Fischer,2798,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Ort |BREITE =-8.795475 |LÄNGE =125.397056 |NAME =Moris Mesac |AMT-NAME2 = |POS-KARTE = |KARTE =…,de.wikipedia.org
2026-09-23T19:15:44Z,WWF_Live_Wire,13985625,Gripweed,3752,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Fernsehsendung | Originaltitel = WWF Live Wire | Produktionsland = Vereinigte Staaten | Original…,de.wikipedia.org
2026-09-23T19:17:12Z,Frédérique_Chiasson,13985630,Loper12321,2373,[[Hilfe:Zusammenfassung und Quellen#Auto-Zusammenfassung|AZ]]: Die Seite wurde neu angelegt: {{Infobox Leichtathlet | kurzname = Frédérique Chiasson | bild = | bildbeschreibung = | langname = | natio…,de.wikipedia.org
