created_at,article,pageid,user,bytes,comment,project
2026-09-25T01:22:18Z,1982–83_League_of_Ireland_Cup,84321065,Alan Merrigan Jr.,6439,[[WP:AES|←]]Created page with '== Group stage == ===Group A=== <onlyinclude>{{#invoke:Sports table|main|style=WDL|generate_links=y |section=Group A |source=[https://www.footballdatabase.eu/en/competi…,en.wikipedia.org
2026-09-25T01:23:06Z,Hylaeus_disjunctus,84321067,Maias,2375,new page,en.wikipedia.org
2026-09-25T01:25:58Z,Megaerops_albicollis,84321077,Enwebb,1234,new species,en.wikipedia.org
2026-09-25T01:27:13Z,1994_Torneo_Internazionale_Città_di_Firenze_–_Doubles,84321086,Pablito064,4665,The draw will be completed soon,en.wikipedia.org
2026-09-25T01:28:47Z,Get_the_Money_(disambiguation),84321091,162 etc.,430,"[[WP:AES|←]]Created page with ''''''[[Get the Money]]''''' is a 2019 album by Taylor Hawkins and the Coattail Riders. '''Get the Money''' may also refer to: * ""[[Get da Money]]"", a 2000 song by Erick…",en.wikipedia.org
2026-09-25T01:31:40Z,Frederick_Abueg,84321100,FiveGeekabytes,5870,[[WP:AES|←]]Created page with '{{Short description|Filipino lawyer and politician (born 1974)}} {{Use mdy dates|date=September 2026}} {{Philippine name|Fabello|Abueg}} {{Infobox officeholder | name =…,en.wikipedia.org
2026-09-25T01:33:40Z,Settut,84321108,Deceptecon,10479,Page created,en.wikipedia.org
2026-09-25T01:33:55Z,Grand_Prix_at_the_CD_Shop_Awards,84321110,IanTEB,33821,[[WP:AES|←]]Created page with '{{Infobox award | name = Grand Prix at the CD Shop Awards | awarded_for = Music albums | country = Japan | presenter = [[CD Shop Awards]] | year = 2009 | holder = ''Scr…,en.wikipedia.org
2026-09-25T01:34:14Z,Neil_Campbell_(Canadian_football),84321111,KerbHopper,6521,[[WP:AES|←]]Created page with '{{Short description|American gridiron football player (born 2002)}} {{Use mdy dates|date=September 2026}} {{Infobox NFL biography | name = Neil Campbell | image = | cap…,en.wikipedia.org
2026-09-25T01:37:31Z,Swallow_Cave_Falls,84321125,1geel0ng1,3330,Creation of Page,en.wikipedia.org
2026-09-25T01:39:01Z,+/-_(album),84321135,Jibblesnark86,3258,Created article.,en.wikipedia.org
2026-09-25T01:41:46Z,Krumm_(disambiguation),84321145,Altenmann,274,"[[WP:AES|←]]Created page with ''''[[Krumm]]''' is a surname. '''Krumm''' may also refer to: * Krumm, monster from ''[[Aaahh!!! Real Monsters]]'' *[[Krumm House]], historic building in Columbus, Ohio,…",en.wikipedia.org
2026-09-25T01:44:04Z,David_Pennimpede,84321155,1083985s,3740,[[WP:AES|←]]Created page with ' '''David Pennimpede''' is an [[Australians|Australian]] [[Muay Thai]] fighter. Pennimpede is currently ranked #8 in the world at 160 pound middleweight division by the…,en.wikipedia.org
2026-09-25T01:44:20Z,Relics_Excavated_from_the_Tomb_of_Lady_Jeong,84321156,Mar del Este,3234,creation (translated)\,en.wikipedia.org
2026-09-25T01:44:22Z,Dorman_Weaver,84321157,Birdlab,2684,creating article,en.wikipedia.org
2026-09-25T01:48:50Z,List_of_restaurants_in_Jakarta,84321177,Kaythehistorian,1537,Created page,en.wikipedia.org
2026-09-25T01:52:41Z,Brian_Buchanan_(disambiguation),84321191,Sirlink2222,229,"[[WP:AES|←]]Created page with ''''Brian Buchanan''' may refer to: * [[Brian Buchanan]] (born 1973), American baseball player * [[Brian Buchanan (cricketer)]], Jamaican cricketer * [[Brian Buchanan (p…",en.wikipedia.org
2026-09-25T01:53:34Z,Deuce_Bailey,84321198,Yankees10,86,[[WP:AES|←]]Created page with 'Deuce Bailey is an American football quarterback for the Coastal Carolina Chanticleers',en.wikipedia.org
2026-09-25T01:53:34Z,Fortifications_of_Westerplatte,84321197,DnieperSniper,19392,Created Page,en.wikipedia.org
2026-09-25T01:59:21Z,1996_Texel_Douglas_DC-3_crash,84321230,ItsMeGabeProductions,14985,Created an article on a plane crash,en.wikipedia.org
2026-09-25T02:03:39Z,Maigret_Returns,84321261,Kencf0618,3912,New article: Maigret Returns,en.wikipedia.org
2026-09-25T02:07:45Z,Freedom_of_the_City_of_Edinburgh,84321281,Waxapple,12203,"Create article on the Freedom of the City of Edinburgh, covering its history, legal basis, recipients, military freedoms and revocations",en.wikipedia.org
