created_at,article,pageid,user,bytes,comment,project
2026-09-26T04:22:13Z,4-D_(The_X-Files),11607218,Persona1998,16755,Creando al traducir [[:en:4-D (The X-Files)]],es.wikipedia.org
2026-09-26T04:27:50Z,Charles_Bélair,11607220,Llaufen,4358,Página creada con «'''Charles Bélair''' (1778-1802) fue un [[militar]] [[Haití|haitiano]] que combatió en la [[Revolución haitiana|guerra de independencia]] de su país. == Biografía == Se sabe que en…,es.wikipedia.org
2026-09-26T04:28:13Z,Harry_Ransom_(administrador_académico),11607221,Maria Jose FC,2178,Creado al traducir la página «[[:en:Special:Redirect/revision/1352571284|Harry Ransom (academic administrator)]]»,es.wikipedia.org
2026-09-26T04:31:25Z,Nivelación_morfológica,11607223,Srr9810,12744,El contenido de esta edición está traducido del artículo de Wikipedia en inglés que se encuentra en [[:en:Morphological leveling]]; ver el historial para verificar su atribución.,es.wikipedia.org
2026-09-26T04:34:30Z,Gran_Premio_de_Mozambique,11607225,XxAlanEZExX,2300,Creado al traducir la página «[[:en:Special:Redirect/revision/1298620705|Mozambique Grand Prix]]»,es.wikipedia.org
2026-09-26T04:38:20Z,Selección_femenina_de_San_Marino,11607228,Anonimo 781,395,Creado al traducir la página «[[:en:Special:Redirect/revision/1373770856|San Marino women's national football team]]»,es.wikipedia.org
2026-09-26T04:44:50Z,"Nomonde_Mihlali_""Mickey""_Meji",11607230,Score Beethoven,7391,"Página creada con «{{Ficha de persona | nombre = Nomonde Mihlali ""Mickey"" Meji | imagen = | pie de imagen = | fecha de nacimiento = 9 de septiembre de 1980 | lugar de nacimiento = [[Ciudad del Cabo]]…",es.wikipedia.org
2026-09-26T04:50:54Z,Tercera_División_de_LINAFA,11607232,LPCR2026,174,No existia,es.wikipedia.org
2026-09-26T05:03:29Z,Gnamptopteryx,11607233,Rjgalindo,1134,Página creada con «{{Ficha de taxón | name = ''Gnamptopteryx'' | image = | image_caption = | regnum = [[Animalia]] | phylum = [[Arthropoda]] | subphylum = [[Hexapoda]] | classis = [[Insecta]] | ordo…,es.wikipedia.org
2026-09-26T05:17:01Z,Gran_Premio_de_Dinamarca,11607235,XxAlanEZExX,2110,Creado al traducir la página «[[:en:Special:Redirect/revision/1360202129|Danish Grand Prix]]»,es.wikipedia.org
