created_at,article,pageid,user,bytes,comment,project
2026-09-26T04:20:52Z,گل‌استکانی_پرسپولیسی,7014653,Mamouri,912,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:22:04Z,گل‌استکانی_آبله‌دار,7014656,Mamouri,902,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:24:03Z,گل‌استکانی_آذربایجانی,7014660,Mamouri,900,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:26:02Z,گل‌استکانی_برگ_گزنه‌ای,7014662,Mamouri,890,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:28:37Z,گل‌استکانی_خوراکی,7014663,Mamouri,858,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:30:22Z,گل‌استکانی_کرک_زبر,7014664,Mamouri,876,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:32:11Z,گل‌استکانی_تک_گل,7014665,Mamouri,854,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:34:21Z,گل‌استکانی_راست,7014667,Mamouri,838,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:35:31Z,تاریخ_مسکو,7014668,FarsMZ,139649,صفحه‌ای تازه حاوی «{{اصلی|مسکو}} [[پرونده:Russia 10 stamps 850 years of Moscow 1997.jpg|بندانگشتی|300px|[[برگه کوچک]] تمبرهای پستی، منتشرشده توسط [[پست روسیه]] به مناسبت [[۸۵۰مین سالگرد مسکو]]، ۱۹۹۷]…,fa.wikipedia.org
2026-09-26T04:36:43Z,گل‌استکانی_ریش‌زبر,7014669,Mamouri,876,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:38:13Z,آنا_از_لورن,7014672,Roozitaa,5859,ایجادشده به کمک [[راهنما:ابزار/به ویکی‌فا|به ویکی‌فا]] و Dexbot، ابرابزار,fa.wikipedia.org
2026-09-26T04:39:07Z,کور_گوشتی,7014673,Mamouri,784,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:41:20Z,آمالیا_از_کلیو,7014675,Roozitaa,9355,ایجادشده به کمک [[راهنما:ابزار/به ویکی‌فا|به ویکی‌فا]] و Dexbot، ابرابزار,fa.wikipedia.org
2026-09-26T04:42:46Z,نخود_درختی,7014676,Mamouri,788,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:43:44Z,فرانسوای_لورن,7014677,Roozitaa,5421,ایجادشده به کمک [[راهنما:ابزار/به ویکی‌فا|به ویکی‌فا]] و Dexbot، ابرابزار,fa.wikipedia.org
2026-09-26T04:45:17Z,ترتیزک‌باتلاقی_پیازچه‌دار,7014678,Mamouri,910,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:47:29Z,ترتیزک‌باتلاقی_کرکی,7014681,Mamouri,858,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:47:50Z,تاریخ_چچن,7014682,FarsMZ,201720,صفحه‌ای تازه حاوی « {{تاریخ چچن}} '''تاریخ چچن''' ممکن است به تاریخ [[مردم چچن]]، سرزمین آن‌ها [[چچن]]، یا سرزمین [[ایچکریا]] اشاره‌داشته باشد.جامعه چچن به‌طور سنتی حول محور طایفه‌های محلی خودمختار ک…,fa.wikipedia.org
2026-09-26T04:48:37Z,رابرت_بارنز,7014683,Roozitaa,14526,ایجادشده به کمک [[راهنما:ابزار/به ویکی‌فا|به ویکی‌فا]] و Dexbot، ابرابزار,fa.wikipedia.org
2026-09-26T04:49:47Z,ترتیزک‌باتلاقی_شانه‌ای,7014684,Mamouri,920,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:52:05Z,ترتیزک‌باتلاقی_گل‌کوچک,7014685,Mamouri,884,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:52:33Z,سید_محدرضا_امیری_طهرانی‌زاده,7014686,Shahram1400,12591,ایجاد مقاله سیدمحمدرضا امیری طهرانی زاده,fa.wikipedia.org
2026-09-26T04:54:08Z,ترتیزک‌باتلاقی_پنج‌برگچه‌ای,7014687,Mamouri,946,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:55:57Z,تاتاری_عربی,7014688,Mamouri,780,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:57:59Z,تاتاری_الجزایری,7014689,Mamouri,772,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T04:59:58Z,تاتاری_خارپشتی,7014692,Mamouri,776,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T05:02:11Z,تاتاری_خارپنبه‌ای,7014693,Mamouri,830,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T05:02:26Z,توماس_گرت,7014694,Roozitaa,8382,ایجادشده به کمک [[راهنما:ابزار/به ویکی‌فا|به ویکی‌فا]] و Dexbot، ابرابزار,fa.wikipedia.org
2026-09-26T05:04:36Z,تاتاری_پرگل,7014695,Mamouri,774,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T05:06:52Z,تاتاری_خزری,7014698,Mamouri,768,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T05:09:11Z,تاتاری_گچسری,7014699,Mamouri,816,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T05:09:57Z,توماس_کالپپر,7014700,Roozitaa,21584,ایجادشده به کمک [[راهنما:ابزار/به ویکی‌فا|به ویکی‌فا]] و Dexbot، ابرابزار,fa.wikipedia.org
2026-09-26T05:11:29Z,گلرنگ_دندانه‌دار,7014701,Mamouri,804,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T05:13:44Z,گل_رنگ_بنفش,7014702,Mamouri,762,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T05:15:40Z,گلرنگ_زرد,7014703,Mamouri,772,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
2026-09-26T05:17:27Z,گلرنگ_ایرانی,7014706,Mamouri,788,ایجاد مقالهٔ گونه: جعبهٔ گونهٔ خودکار و توصیف کوتاه,fa.wikipedia.org
