created_at,article,pageid,user,bytes,comment,project
2026-09-24T19:27:47Z,Petar_Sukačev,17628548,Thefan42,3100,Création de la page Petar Sukačev,fr.wikipedia.org
2026-09-24T19:35:48Z,SuperPrint,17628552,~2026-51723-25,1824,Création de la page SuperPrint,fr.wikipedia.org
2026-09-24T19:42:38Z,Laffranque,17628562,Cahtls,312,création de page d'homonymie,fr.wikipedia.org
2026-09-24T19:56:13Z,New_Haven_Line,17628574,Jf380,12278,création avec la version EN,fr.wikipedia.org
2026-09-24T19:58:16Z,Bibliographie_sur_la_Restauration_(France),17628577,Eskivor,36589,création article,fr.wikipedia.org
2026-09-24T19:58:23Z,Pascack_Valley_Line,17628578,Jf380,7340,création avec la version EN,fr.wikipedia.org
2026-09-24T20:00:09Z,Port_Jervis_Line,17628579,Jf380,8894,création avec la version EN,fr.wikipedia.org
2026-09-24T20:03:43Z,Zone_clé_pour_la_biodiversité,17628583,Théo Vansteenkeste,1887,"Nouvelle page : {{ébauche|conservation de la nature}} Une '''zone clé pour la biodiversité''' (Key biodiversity area, en [[anglais]]) est une aire géographique délimité accueillant des [[biotope]]s e…",fr.wikipedia.org
2026-09-24T20:06:08Z,Danbury_Branch,17628589,Jf380,8066,création avec la version EN,fr.wikipedia.org
2026-09-24T20:08:12Z,New_Canaan_Branch,17628596,Jf380,7372,création avec la version EN,fr.wikipedia.org
2026-09-24T20:09:15Z,Waterbury_Branch,17628598,Jf380,6766,création avec la version EN,fr.wikipedia.org
2026-09-24T20:16:51Z,Centrale_électrique_Donald_Von_Raesfeld,17628602,Darthjipsu,4333,Créé en traduisant la page « [[:en:Special:Redirect/revision/1339760168|Donald Von Raesfeld Power Plant]] »,fr.wikipedia.org
