created_at,article,pageid,user,bytes,comment,project
2026-09-23T11:45:08Z,יונתן_גרובר,2576470,~2026-51282-09,5377,כתבתי את הערך ליונתן גרובר,he.wikipedia.org
2026-09-23T12:07:37Z,חורשת_האקליפטוסים_(נוף_ים),2576478,Tomer T,6112,יצירת דף חדש,he.wikipedia.org
2026-09-23T12:08:37Z,פסיכוהיסטוריה_(אסימוב),2576479,גארפילד,10481,יצירת דף חדש,he.wikipedia.org
2026-09-23T12:14:42Z,חורשת_האקליפטוס_(פירושונים),2576481,Tomer T,887,יצירת דף חדש,he.wikipedia.org
2026-09-23T12:31:16Z,פרישטינה_(כדורגל),2576486,בריאן,1096,יצירת דף חדש,he.wikipedia.org
2026-09-23T12:36:47Z,מלמולים,2576487,Gellerman,2813,יצירת דף חדש,he.wikipedia.org
2026-09-23T13:33:22Z,אביבה_יואל,2576504,Aniaiq,7888,יצירת דף חדש,he.wikipedia.org
2026-09-23T14:04:33Z,סטיב_סאות'רלנד,2576507,על הטוב,9389,יצירת דף חדש,he.wikipedia.org
2026-09-23T14:20:27Z,אלן_בויד_(פוליטיקאי_מפלורידה),2576510,על הטוב,10557,יצירת דף חדש,he.wikipedia.org
2026-09-23T14:32:49Z,סורייה_קרישנמורת'י,2576512,Ovcck,5176,יצירת דף חדש,he.wikipedia.org
