created_at,article,pageid,user,bytes,comment,project
2026-09-23T18:15:22Z,The_Weapon:_Il_mandante,11214940,Biagio1999,1889,[[WP:OA|←]]Nuova pagina: {{S|film d'azione|film thriller}} {{Film |titolo= The Weapon: Il mandante |immagine= |didascalia= |titolo originale= The Weapon |lingua originale= [[Lingua inglese|inglese]]…,it.wikipedia.org
2026-09-23T18:23:14Z,Minoan_Air,11214950,Gabxx13,4851,Creazione nuova pagina: Minoan Air,it.wikipedia.org
2026-09-23T18:32:58Z,Jeff_Ayeroff,11214953,Antonio Visentini,6473,"Creazione della pagina Jeff Ayeroff, uno dei più famosi produttori americani",it.wikipedia.org
2026-09-23T18:46:15Z,Northumberland_(traghetto),11214970,Jacopo Tofani,9757,"[[WP:OA|←]]Nuova pagina: {{Infobox nave |Categoria = nave passeggeri |Nome = ''Northumberland'' |Immagine = MV Northumberland ferry entering Caribou, NS.jpg |Didascalia = Il ''Northumberland'' in arr…",it.wikipedia.org
2026-09-23T19:02:15Z,Eccellenza_Abruzzo_2026-2027,11214980,Fabrizio micò,10191,[[WP:OA|←]]Nuova pagina: 8{{Torna a|Eccellenza 2026-2027}} {{Edizione di competizione sportiva |nome = Eccellenza Abruzzo 2026-2027 |sport = Calcio |edizione = 36 |competizione = [[Eccellenza Abruzzo…,it.wikipedia.org
2026-09-23T19:05:58Z,Keyshaun_Elliott,11214985,Merson,6891,[[WP:OA|←]]Nuova pagina: {{Sportivo |Nome = Keyshaun Elliott |Immagine = Keyshaun Elliott - Combine.jpg |Didascalia = Elliott nel 2026 |Sesso = M |CodiceNazione = {{USA}} |Disciplina = Football ameri…,it.wikipedia.org
2026-09-23T19:09:28Z,Andy_Wright,11214987,Nico.1907,5449,[[WP:OA|←]]Nuova pagina: Sportivo |Nome= Andy Wright |Immagine= |Sesso = M |CodiceNazione = {{ENG}} |Disciplina= Calcio |Ruolo= [[Centrocampista]] |Squadra= |TermineCarriera= 2010 |SquadreGiovanili=…,it.wikipedia.org
2026-09-23T19:12:48Z,Keith_McPherson,11214989,Nico.1907,3955,[[WP:OA|←]]Nuova pagina: {{Sportivo |Nome= Keith McPherson |Immagine= |Sesso = M |CodiceNazione = {{ENG}} |Disciplina= Calcio |Ruolo= [[Difensore (calcio)|Difensore]] |Squadra= |TermineCarriera= 2001…,it.wikipedia.org
2026-09-23T19:14:22Z,Greg_Campbell,11214990,Nico.1907,4782,[[WP:OA|←]]Nuova pagina: {{Sportivo |Nome= Greg Campbell |Immagine= |Sesso = M |CodiceNazione = {{ENG}} |Disciplina= Calcio |Ruolo= [[Attaccante]] |Squadra= |TermineCarriera= 1992 |SquadreGiovanili=…,it.wikipedia.org
2026-09-23T19:55:44Z,Lenvil_Elliott,11215024,Merson,5804,[[WP:OA|←]]Nuova pagina: {{Sportivo |Nome = Lenvil Elliott |Immagine = |Didascalia = |Sesso = M |CodiceNazione = {{USA}} |Disciplina = Football americano |Ruolo = [[Running back]] |Squadra = |Termine…,it.wikipedia.org
2026-09-23T19:57:12Z,Marino_Bergonzini,11215025,Sentruper,9907,[[WP:OA|←]]Nuova pagina: {{Vescovo |chiesa = cattolica |nome = |immagine = |larghezza = |didascalia = |stemma = |motto = |titolo = |ruoliattuali = |ruoliricoperti = * [[Vescovo titolare]] di [[Dioces…,it.wikipedia.org
2026-09-23T19:58:06Z,Baja_Ferries,11215026,Jacopo Tofani,6348,[[WP:OA|←]]Nuova pagina: {{Azienda |nome = Baja Ferries |forma societaria = Società di investimento a capitale variabile |data fondazione = 5 marzo 2003 |forza cat anno = 2003 |luogo fondazione = [[L…,it.wikipedia.org
