created_at,article,pageid,user,bytes,comment,project
2026-09-26T12:33:52Z,1951年地中海競技大会,5299253,Salmon471,3053,[[WP:AES|←]]新しいページ: 「'''1951年地中海競技大会'''（1951ねんちちゅうかいきょうぎたいかい）は、1951年10月5日から10月20日まで、エジプトの[[アレクサンドリア]]で開催された第1回の地中海競技大会である。 == 概要 == 1948年ロンドンオリンピックの際、エジプトのIOC委員であったムハンマド・タヘル・パシャが提唱した「地中海沿岸諸国の平和と結束を促す…,ja.wikipedia.org
2026-09-26T12:34:44Z,第9回明治神宮体育大会における陸上競技,5299254,訳由美子,3613,新規作成,ja.wikipedia.org
2026-09-26T12:35:20Z,ユスプジャン・メメット,5299255,魔法少女ダルヴァちゃん,4972,ページ「[[:zh:Special:Redirect/revision/86849390|玉苏甫江·麦麦提]]」の翻訳により作成,ja.wikipedia.org
2026-09-26T12:35:50Z,納古山,5299256,Alpsdake,13728,[[WP:AES|←]]新しいページ: 「{{Infobox 山 |名称=納古山 |画像=[[ファイル:Mount Noko from Mount Gongen s2.jpg|300px|南側の権現山から望む納古山、手前の山麓は飛騨川右岸にある七宗町下麻生の街並み、2026年2月14日撮影]] |画像キャプション=南側の権現山から望む納古山、手前の山麓は[[飛騨川]][[右岸]]にある川辺町[[…,ja.wikipedia.org
2026-09-26T12:38:34Z,小泉橋_(富山市),5299257,ゆいらぶ,3729,[[WP:AES|←]]新しいページ: 「{{橋 | 名称 = 小泉橋 | 画像 = {{画像募集中|cat=富山市}} | 画像幅 = 300px | 画像説明 = {{Infobox mapframe|frame-width=300|zoom=13}} | 国 = {{JPN}} | 所在地 = [[富山県]][[富山市]] | 交差物件 = [[井田川]] | 用途 = 道路橋 | 路線名…,ja.wikipedia.org
2026-09-26T12:39:09Z,吉田信,5299258,山田晴通,6585,多数の筆名をもった作曲家、新聞記者、放送人、映画人,ja.wikipedia.org
2026-09-26T12:43:17Z,ヒライソガニ,5299264,BdmjgtjB,4427,[[WP:AES|←]]新しいページ: 「{{生物分類表|名称=ヒライソガニ|画像=[[ファイル: ヒライソガニ 色彩多様性 Color variation Gaetice depressus.jpg|250px]]|画像キャプション=|界=[[動物界]] {{Sname||Animalia}}|門=[[節足動物門]] {{Sname||Arthropoda}}|亜門=[[甲殻亜門]] {{Sn…,ja.wikipedia.org
2026-09-26T12:43:30Z,大阪府シーズン開幕試合,5299265,ボクボクマンズ,4100,[[WP:AES|←]]新しいページ: 「'''大阪府シーズン開幕試合'''(おおさかふシーズンかいまくしあい)は、大阪府ラグビーフットボール協会主催の高校生による[[ラグビーユニオン]]試合である。 '''高校ラグビーベストマッチ'''という副題がつくこともある。 == 概要 == 毎年9月、[[全国高等学校ラグビーフットボール大会|高校ラグビー]]大阪府予選開幕前に実施<ref>[https…,ja.wikipedia.org
2026-09-26T12:44:53Z,グリークアンシャル,5299266,~2026-47711-45,854,[[WP:AES|←]]新しいページ: 「'''グリークアンシャル'''とは、[[アンシャル体]]の1種<ref>{{Cite web|title=今月のレッスン「アンシャル体」|url=http://www.moji-s.com/2020/04/08/%E4%BB%8A%E6%9C%88%E3%81%AE%E3%83%AC%E3%83%83%E3%82%B9%E3%83%B3-%E3%82%A…,ja.wikipedia.org
2026-09-26T12:55:07Z,MTメルズンゲン,5299270,Denfrlatin,26543,"翻訳元履歴：[[de:MT Melsungen]] (17:07, 10. Jul. 2026, CEST, UTC+2)",ja.wikipedia.org
2026-09-26T13:00:03Z,粒金技法,5299273,Saint Andre 2026,6378,[[WP:AES|←]]新しいページ: 「 '''粒金技法'''（りゅうきんぎほう、{{Lang-en-short|Granulation}}）は、[[金属工芸]]（[[彫金]]）における装飾技法の一種である。「粒金」とは、英語の「granulation」の訳であり、22金以上の高カラットの金の土台の上に同じ高品位の微細な金粒を[[ハンダ]]（[[ろう付け|ロウ材]]）を用いることなく、連続・立…,ja.wikipedia.org
2026-09-26T13:02:31Z,第3回7人制デフラグビー世界大会,5299274,Bowwow,5890,新規作成,ja.wikipedia.org
2026-09-26T13:04:58Z,日本労務学会,5299276,QuietReaderTokyo,13138,新規作成（出典: 学会公式サイト・会則、日本学術会議「学会名鑑」、国立国会図書館サーチ、CiNii Books、J-STAGE、ISSN Portal）,ja.wikipedia.org
2026-09-26T13:07:43Z,ペテ・アポリナル,5299277,Yqazk,3207,[[WP:AES|←]]新しいページ: 「'''ペテ・アポリナル'''（'''Pete Apolinar'''、[[1995年]][[4月23日]] - ）は、[[フィリピン]]の[[プロボクサー]]。 == 来歴 == 2022年8月26日、後楽園ホールで[[東洋太平洋ボクシング連盟|OPBF]]東洋太平洋[[スーパーバンタム級]]15位の[[武居由樹]]と対戦し、5回2分7秒TKO負けを喫し…,ja.wikipedia.org
2026-09-26T13:12:00Z,エリック・カッセル,5299279,~2026-51749-91,1026,できる限り、エリックカッセルの情報を入れました。,ja.wikipedia.org
2026-09-26T13:17:21Z,愛宕山_(各務原市),5299281,各務原市,2312,愛宕山について書きました,ja.wikipedia.org
2026-09-26T13:17:31Z,スーパーナチュラル・スーパーシリアス,5299282,BabyLightMyWay,37067,「スーパーナチュラル・スーパーシリアス」（英: Supernatural Superserious）は、アメリカ合衆国のオルタナティヴ・ロック・バンド、R.E.M.の楽曲である。14作目のスタジオ・アルバム『アクセラレイト』（2008年）からの第1弾シングルとして発売された。,ja.wikipedia.org
