created_at,article,pageid,user,bytes,comment,project
2026-09-24T21:34:00Z,패리티_플래그,4276202,Ykhwong,3931,"새 문서: [[컴퓨터 프로그래밍]]에서 '''패리티 플래그'''(parity flag)는 마지막 연산 결과의 이진 표현에서 설정된 [[비트 (단위)|비트]]의 수가 [[홀수와 짝수|홀수인지 짝수인지]]를 나타내는 [[프로세서 플래그]]이다. 이는 일반적으로 프로세서 상태 레지스터의 단일 비트로 존재한다. 예를 들어, 패리티 플래그가 설정되어 있으면 짝수…",ko.wikipedia.org
2026-09-24T21:38:41Z,석유회수증진,4276203,Ykhwong,43765,"새 문서: [[File:Oil & gas injection well.jpg|thumb|right|석유회수증진에 사용되는 주입정]] '''석유회수증진'''(Enhanced oil recovery, 약칭 '''EOR''') 또는 '''석유고차회수''' 또는 '''3차 회수'''(tertiary recovery)는 1차 및 2차 회수 방법이 완전히 고갈된 [[…",ko.wikipedia.org
2026-09-24T21:46:45Z,오하시_신,4276210,Ykhwong,3432,"새 문서: '''오하시 신'''({{lang|ja|大橋信}}, 2009년 3월 5일 ~ )은 [[평영]]을 주종목으로 하는 일본의 수영 선수이다. [[2026년 범태평양 수영 선수권 대회]]에서 그는 자신의 [[수영 세계 주니어 기록 목록|세계 주니어 기록]]을 경신하며 [[평영 100m]] 종목에서 은메달을 획득했다.<ref>{{웹 인용|last1=Wo…",ko.wikipedia.org
2026-09-24T21:49:31Z,에프라임_키숀,4276211,Ykhwong,34058,새 문서: {{Infobox person | name = 에프라임 키숀 | native_name = אפרים קישון | native_name_lang = Hebrew | birth_name = 페렌츠 호프만 | image = {{Easy CSS image crop |Image = PikiWiki Israel 50218 ephraim kishon .j…,ko.wikipedia.org
2026-09-24T21:52:45Z,오카다_코지,4276213,Ykhwong,3959,새 문서: {{Infobox person |name = 오카다 코지 |image = Koji Okada - MiG - P1420957 (cropped).JPG |caption = 2010년의 오카다 |native_name = 岡田 耕始 |birth_date = {{birth date and age|1964|02|22}} |birth_place = [[일본…,ko.wikipedia.org
2026-09-24T21:54:22Z,바드르_압델라티,4276214,Ykhwong,2760,"새 문서: [[File:Badr Abdelatty 2025 (cropped).jpg|thumb|2025년의 바드르 압델라티]] '''바드르 아흐메드 모하메드 압델라티'''({{llang|ar|بدر أحمد محمد عبد العاطي}}; 1966년 2월 8일 ~ )는 이집트의 외교관이자 정치인으로, 2024년부터 [[이집트 외무장관|외무장관]]직을 맡…",ko.wikipedia.org
2026-09-24T21:58:54Z,브래드_쿠퍼,4276216,Ykhwong,47643,"새 문서: [[파일:ADM Charles B. Cooper II.jpg|thumb|공식 초상화, 2025년]] '''찰스 브래드퍼드 쿠퍼 2세'''(Charles Bradford Cooper II, 1967년~)는 미국의 [[미국제독|제독]]으로, 2025년부터 [[미국 중부사령부]] 사령관을 맡아 [[2026년 이란 전쟁]] 동안 군을 지휘했다. 쿠퍼는…",ko.wikipedia.org
2026-09-24T22:01:33Z,엘라_팜필로바,4276217,Ykhwong,28836,"새 문서: [[File:Ella Pamfilova (2025-04-15) (cropped).jpg|thumb|2025년의 팜필로바]] '''엘라 알렉산드로브나 팜필로바'''({{llang|ru|Элла Александровна Памфилова}}, {{본명|'''레콤체바'''}} [{{Lang|ru|Лекомцева}}]; 1953년 9월 12일 ~ )…",ko.wikipedia.org
2026-09-24T22:08:31Z,JPL_호라이즌스_온라인_에페메리스_시스템,4276219,Ykhwong,5335,새 문서: [[파일:JPL Horizons On-Line Ephemeris System output values.png|thumb|JPL 호라이즌스 온라인 에페메리스 시스템 출력값의 그래픽 표현<ref>{{웹 인용| url=https://www.forumastronautico.it/t/cercansi-collaboratori-per-interfaccia-…,ko.wikipedia.org
2026-09-24T22:17:13Z,마켓_바스켓,4276221,Ykhwong,6942,새 문서: [[File:What makes up the basket of goods infographic.png|thumb|What makes up the basket of goods?]] '''마켓 바스켓'''(market basket) 또는 '''상품 묶음'''(commodity bundle)은 정해진 비율로 구성된 품목의 고정된 목록이다. 가장 흔한…,ko.wikipedia.org
