created_at,article,pageid,user,bytes,comment,project
2026-09-26T12:27:20Z,Young_M._Moody,6079876,Johnfc,7656,Vertaling van het het Engelstalige Wikipedia-artikel over Young Marshall Moody (bronnen werden gecontroleerd),nl.wikipedia.org
2026-09-26T12:31:51Z,Station_Lahonce,6079877,Norbert zeescouts,935,[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Infobox spoorwegstation Frankrijk | naam = Station Lahonce | afbeelding = | onderschrift = | plaats = [[Lahonce]] | stationscode = | opening = | sluiting = |…,nl.wikipedia.org
2026-09-26T12:34:11Z,Kapucijnenklooster_(Edingen),6079878,Karmakolle,10110,[[WP:GS|Nieuwe pagina aangemaakt]] met '[[File:Edingen Kapucijnenklooster (1).jpg|thumb|Toegangspoort aan de Kapucijnenstraat]] [[File:Chapelle St-François Enghien Nef.jpg|thumb|Sint-Franciscuskapel…,nl.wikipedia.org
2026-09-26T12:36:22Z,Martin_Matoša,6079879,Flügel-Flitzer,2939,[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Infobox voetbalscheidsrechter | naam = Martin Matoša | afbeelding = | onderschrift = | volledigenaam = Martin Matoša | bijnaam = | geboortedatum = [[25 april…,nl.wikipedia.org
2026-09-26T12:43:02Z,William_F._Perry,6079880,Johnfc,9929,Vertaling van het Engelstalige Wikipedia-artikel over William F. Perry (bronnen werden gecontroleerd een aangevuld),nl.wikipedia.org
2026-09-26T12:51:20Z,Benjamin_J._Hill,6079884,Johnfc,7054,Vertaling van het Engelstalige Wikipedia-artikel over Benjamin J. Hill (bronnen werden gecontroleerd),nl.wikipedia.org
2026-09-26T13:00:39Z,William_H._Wallace_(generaal),6079885,Johnfc,9142,Vertaling van het Engelstalige Wikipedia-artikel over William Henry Wallace (bronnen werden gecontroleerd),nl.wikipedia.org
2026-09-26T13:06:08Z,Wereldkampioenschappen_schaatsen_afstanden_2025_–_Massastart_mannen,6079889,JPonsteen,7518,Pagina aangemaakt.,nl.wikipedia.org
2026-09-26T13:13:43Z,Parijs-Brussel_1947,6079895,Micnl,2838,[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Infobox editie wielerwedstrijd | titel = {{BE-VLAG}} [[Brussels Cycling Classic|Parijs-Brussel]] 1947 | editie = 33 | routekaart = | afbeelding = | onderschr…,nl.wikipedia.org
2026-09-26T13:18:41Z,Richard_Waterhouse_(generaal),6079896,Johnfc,5476,Vertaling van het Engelstalige Wikipedia-artikel over Richard Waterhouse (general) (bronnen werden gecontroleerd en aangevuld. voetnoten werden aangevuld),nl.wikipedia.org
