created_at,article,pageid,user,bytes,comment,project
2026-09-23T14:54:20Z,Gąska_garbkowata,6158354,Selso,2327,"N:tekst art., infoboks",pl.wikipedia.org
2026-09-23T15:13:04Z,Ryoma_Tanaka,6158369,Jasiek054,3206,done,pl.wikipedia.org
2026-09-23T15:21:27Z,Górale_(Litwa),6158373,Tomasz91,4866,+,pl.wikipedia.org
2026-09-23T15:52:12Z,Jaczany,6158392,Tomasz91,5077,+,pl.wikipedia.org
2026-09-23T15:55:01Z,Zamek_w_Nowej_Brzeźnicy,6158397,Pistulka,8838,Pierwszy,pl.wikipedia.org
2026-09-23T15:58:13Z,Planeta_Ziemia,6158403,Andrzei111,438,ujednoznacznienie,pl.wikipedia.org
2026-09-23T16:05:05Z,Nieskuczna,6158410,Tomasz91,5178,+,pl.wikipedia.org
2026-09-23T16:13:06Z,American_Horror_Story:_13,6158415,King10,32940,nowy,pl.wikipedia.org
2026-09-23T16:15:31Z,Czernicznaja_(przystanek_kolejowy),6158416,Tomasz91,2106,+,pl.wikipedia.org
2026-09-23T16:16:29Z,Rozdział_13:_Jedi,6158418,Fruflea,20423,"Nowy artykuł, treść głównie przetłumaczona z en.wiki",pl.wikipedia.org
2026-09-23T16:20:18Z,Dekanat_krasnochełmski,6158423,Zmartwychwstanie,5036,[[Specjalna:Nowe strony|Nowa strona]]: {{Administratura kościelna infobox |nazwa = Dekanat krasnochełmski |nazwa oryginalna = {{k|ru|Краснохолмское благочиние}} |typ administratury = Dekanat |grafika…,pl.wikipedia.org
2026-09-23T16:22:11Z,Szyizm_w_Afganistanie,6158425,AkaruiHikari,7553,"[[Specjalna:Nowe strony|Nowa strona]]: '''Szyizm w Afganistanie''' – odłam [[islam]]u, którego wyznawcy stanowili według danych z 2009 roku ok. 10–15% mieszkańców [[Afganistan|Afganistanu]]. Wśród [[…",pl.wikipedia.org
2026-09-23T16:34:23Z,Rieszetnikowo_(stacja_kolejowa),6158431,Tomasz91,3288,+,pl.wikipedia.org
2026-09-23T16:34:42Z,Tudor_Vladimirescu_(ujednoznacznienie),6158433,Kuba Walczak,1067,nowy artykuł,pl.wikipedia.org
2026-09-23T16:37:54Z,SANS_Institute,6158435,Bezpieczny Bezpiecznik,4495,"nowe hasło o SANS Institute; źródła: strony SANS Institute, SANS Technology Institute i Internet Storm Center, rejestr SAM oraz platforma Digital Skills and Jobs Komisji Europejskiej",pl.wikipedia.org
2026-09-23T16:40:03Z,Elif_Eralp,6158438,KryspoRegio,2968,[[Specjalna:Nowe strony|Nowa strona]]: {{Polityk infobox | imię i nazwisko = Elif Eralp | imię i nazwisko org = | grafika = Elif Eralp 2026.jpg | opis grafiki = Elif Eralp (2026) | data urodzenia = 1…,pl.wikipedia.org
