created_at,article,pageid,user,bytes,comment,project
2026-09-23T12:08:23Z,CPMI_da_Esterilização_em_Massa_de_Mulheres,7964912,ArlindoPereira,5769,cria esboço,pt.wikipedia.org
2026-09-23T12:36:06Z,Campanha_de_Aitape–Wewak,7964921,Lucas SantosLs,22533,O conteúdo desta edição foi traduzido do artigo existente da Wikipédia em inglês em [[:en:Aitape–Wewak campaign]]; veja o histórico para a atribuição.,pt.wikipedia.org
2026-09-23T12:44:44Z,Revelando,7964929,ArlindoPereira,4495,cria artigo,pt.wikipedia.org
2026-09-23T12:49:37Z,Furacão_Polo_(2026),7964934,Matheusperini,12411,nova página: {{Evento atual|tema=furacão}} {{Info/Evento meteorológico |child = yes |imagem= Polo 2026-09-22 2230Z.jpg |legenda= Polo em intensidade máxima ao largo da costa do sudoeste do [[México]]…,pt.wikipedia.org
2026-09-23T13:27:19Z,Alfredo_Pinheiro_Marques,7964949,Lourencoalmada,6382,"nova página: {{Info/Biografia/Wikidata}} '''Alfredo Pinheiro Marques''' ([[Figueiró da Granja]], [[Fornos de Algodres]], [[24 de Agosto]] de [[1956]]<ref>[https://aurinegra.wordpress.com/2011/12/22/u…",pt.wikipedia.org
2026-09-23T13:31:04Z,Sintase_de_friedelina,7964953,Cangarejo,8011,"nova página: A '''sintase de friedelina''' (também conhecida pela sigla em inglês FRS, correspondendo à classificação enzimática EC 5.4.99.50) é uma [[enzima]] crucial pertencente à família das cicla…",pt.wikipedia.org
2026-09-23T13:58:25Z,Pau-de-arara_(canção),7964965,Wanda.Salles,407,nova página: {{Info/Canção |nome = Pau-de-Arara |tipo = canção |artista = [[Luiz Gonzaga]] |lançada = {{Data de início|1952|10}} |gravada = 1952 |gênero = [[Baião]] |duração = {{Duração|m=4|s=52}} |g…,pt.wikipedia.org
2026-09-23T13:58:43Z,Contra-ataque_de_Bougainville,7964966,Boyfrombahia,70339,O conteúdo desta edição foi traduzido do artigo existente da Wikipédia em inglês em [[:en:Bougainville counterattack]]; veja o histórico para a atribuição.,pt.wikipedia.org
2026-09-23T14:14:19Z,Mi_Hub_Education,7964978,ComunicaçãoMi,8620,"A MI Hub Education, anteriormente conhecida como Mais Idiomas, é uma empresa portuguesa especializada em aprendizagem e desenvolvimento para empresas, com foco em competências comunicacionais, linguí…",pt.wikipedia.org
2026-09-23T14:19:08Z,Prescrição_eletrônica,7964985,Dr-crlt,20585,"Novo artigo: prescrição eletrônica, com panorama internacional e histórico no Brasil, baseado em legislação e fontes oficiais.",pt.wikipedia.org
2026-09-23T14:24:35Z,Basílica_Menor_de_Santo_Antonio_de_Borba,7964991,GABRIEL COLARES,39437,"nova página: {{Info/Edifício |nome = Catedral Basílica de Santo Antônio de Pádua |imagem = |legenda = Catedral Basílica de Santo Antônio de Pádua, em Borba, Amazonas |religião = [[Igreja Católica]] |…",pt.wikipedia.org
2026-09-23T14:24:39Z,Proposta_de_invasao_japonesa_da_Australia_durante_a_Segunda_Guerra_Mundial,7964992,Lucas SantosLs,28484,{{Traduzido |cód_idioma = en |página =Proposed Japanese invasion of Australia during World War II|data = {{subst:HOJE}} |oldid = 1371274099|fontes = V}}{{OKA}},pt.wikipedia.org
