created_at,article,pageid,user,bytes,comment,project
2026-09-24T09:29:49Z,Чемпионат_России_по_универсальному_бою_2024,11614643,Зырты,15319,[[ВП:←|←]] Новая страница: «{{subst:L}} {{Спортивное соревнование | Название = Чемпионат России по универсальному бою 2024 | Эмблема = | Размер = | Описание = | Город = {{Флагификация|Волгоград}} | С…,ru.wikipedia.org
2026-09-24T09:35:38Z,Гирбичек,11614649,Яндем,5040,Привязать ceb:Girbichek,ru.wikipedia.org
2026-09-24T09:38:39Z,Доходный_дом_П._И._Мартынова,11614650,Infovishera,5906,новое,ru.wikipedia.org
2026-09-24T09:38:52Z,"Харп,_Эрин",11614651,Шнапс,12072,[[ВП:←|←]] Новая страница: «{{ФИО}} {{Музыкант |Имя = Эрин Харп |Оригинал имени = {{lang-en|Erin Harpe}} |Изображение = |Ширина = |Описание изображения = |Фон = solo_singer |Имя при рождении = |Полно…,ru.wikipedia.org
2026-09-24T09:40:38Z,"Дикс,_Джулиан",11614652,Граф Рауль Валуа,9066,[[ВП:←|←]] Новая страница: «{{Футболист |изображение = JulianDicks2008.JPG |дата рождения = 8.8.1968 }} '''Джу́лиан Эндрю Дикс''' ({{lang-en|Julian Andrew Dicks}}; {{ВД-Преамбула}}) — [[Англия|англий…,ru.wikipedia.org
2026-09-24T09:43:43Z,"Глотов,_Никита",11614653,Schrike,334,Никита Глотов,ru.wikipedia.org
2026-09-24T09:51:00Z,Кузнецов_Артём_Александрович_баскетболист,11614659,Alexandr Smidt,557,"[[ВП:←|←]] Новая страница: «Артём Александрович Кузнецов (род. 15 мая 2012, Москва) - российский баскетболист, играющий на позиции центрового. В сезоне 2025 - 2025 года стал чемпионом Первенства Моск…",ru.wikipedia.org
2026-09-24T09:58:32Z,Музей_Бонна-Эллё,11614664,Capitolium4025,4140,"[[ВП:←|←]] Новая страница: «{{музей}}'''Музей Бонна-Эллё''' ({{lang-fr|Musée Bonnat-Helleu}}) — художественный музей, расположенный в городе Байонна, регион Новая Аквитания, Франция. Музей был основа…",ru.wikipedia.org
2026-09-24T10:06:04Z,"Паскуал,_Эрмету",11614668,Счастливое число,17317,источник - [[:en:Hermeto Pascoal]],ru.wikipedia.org
2026-09-24T10:10:59Z,Zenzealia,11614673,Vampelinaa,2265,[[ВП:←|←]] Новая страница: «{{Музыкальный альбом | Название = Zenzealia | Тип = студийный альбом | Исполнитель = [[Азилия Бэнкс]] | Дата выпуска = 21 апреля 2026 | Язык = [[Английский язык|английский…,ru.wikipedia.org
