created_at,article,pageid,user,bytes,comment,project
2026-09-25T20:21:10Z,2026_Avrupa_Boks_Şampiyonası_-_Erkekler_55_kg,4752570,Pehlivanmeydani,4156,Başlangıç,tr.wikipedia.org
2026-09-25T20:25:10Z,2026_Avrupa_Boks_Şampiyonası_-_Erkekler_60_kg,4752571,Pehlivanmeydani,4154,Başlangıç,tr.wikipedia.org
2026-09-25T20:28:09Z,2026_Avrupa_Boks_Şampiyonası_-_Erkekler_65_kg,4752572,Pehlivanmeydani,4146,Başlangıç,tr.wikipedia.org
2026-09-25T20:31:01Z,2026_Avrupa_Boks_Şampiyonası_-_Erkekler_70_kg,4752573,Pehlivanmeydani,4666,Başlangıç,tr.wikipedia.org
2026-09-25T20:32:45Z,Type_97_(ağır_makineli_tüfek),4752574,Beşiktaşlı48,3144,"""{{Silah bilgi kutusu | adı = Type 97 ağır makineli tüfek | resim = Type97LMG.jpg | resim_boyutu = 250px | başlık = Type 97 ağır makineli tüfek | çeşidi = [[Ağır makineli tüfek]] | uyruğu = {{bayrakü…",tr.wikipedia.org
2026-09-25T20:34:59Z,2026_Avrupa_Boks_Şampiyonası_-_Erkekler_75_kg,4752575,Pehlivanmeydani,3943,Başlangıç,tr.wikipedia.org
2026-09-25T20:39:02Z,2026_Avrupa_Boks_Şampiyonası_-_Erkekler_80_kg,4752576,Pehlivanmeydani,4008,Başlangıç,tr.wikipedia.org
2026-09-25T20:42:41Z,2026_Avrupa_Boks_Şampiyonası_-_Erkekler_85_kg,4752577,Pehlivanmeydani,3543,Başlangıç,tr.wikipedia.org
2026-09-25T20:47:29Z,2026_Avrupa_Boks_Şampiyonası_-_Erkekler_+90_kg,4752579,Pehlivanmeydani,3312,Başlangıç,tr.wikipedia.org
2026-09-25T20:50:07Z,Marina_Miletić,4752580,Elenktra,5869,"""{{Voleybolcu bilgi kutusu |isim=Marina Miletić |milliyeti={{bayraksimge|HRV}} Hırvat |doğumtarihi={{doğum tarihi ve yaşı|1983|2|21|df=y}} |doğumyeri=[[Vukovar]], Hırvatistan |boy={{boy|m=1.80}} |poz…",tr.wikipedia.org
2026-09-25T20:51:17Z,European_Boxing,4752581,Pehlivanmeydani,2219,"""{{Kuruluş bilgi kutusu | adı = European Boxing | tür = Kıtasal spor federasyonu | kuruluş = 23 Mart 2025 | merkez = {{Bayraksimge|Çekya}} [[Prag]] | üyeler = 52 federasyon | lider_unvanı = Başkan |…",tr.wikipedia.org
2026-09-25T20:55:40Z,Avrupa_Boks_Şampiyonası,4752582,Pehlivanmeydani,2961,Başlangıç,tr.wikipedia.org
2026-09-25T20:56:08Z,Type_96_(hafif_makineli_tüfek),4752583,Beşiktaşlı48,6104,"""{{Silah bilgi kutusu | adı = Type 96 hafif makineli tüfek | resim = Machine gun Type 96 1.jpg | resim_boyutu = 250px | başlık = Type 96 hafif makineli tüfek | çeşidi = [[Hafif makineli tüfek]] | uyr…",tr.wikipedia.org
2026-09-25T20:59:36Z,Owston_Adaları,4752584,DieFohlen,1411,"""[[:de:Special:Redirect/revision/241334355|Owston-Inseln]]"" sayfasının çevrilmesiyle oluşturuldu.",tr.wikipedia.org
2026-09-25T21:00:47Z,Marina_Pankova,4752585,Elenktra,6983,"""{{Voleybolcu bilgi kutusu |isim=Marina Pankova |milliyeti={{bayraksimge|URS}} Sovyet<br />{{bayraksimge|RUS}} Rus |doğumtarihi={{doğum tarihi|1963|3|3|df=y}} |doğumyeri=[[Bratsk]], Sovyetler Birliği…",tr.wikipedia.org
