created_at,article,pageid,user,bytes,comment,project
2026-09-23T16:09:55Z,Візова_політика_Австралії,6041575,OlviiaDem,131569,Створена сторінка: {{Політика Австралії}}[[File:Australia Visa.jpg|thumb|right|180px|alt=Австралійська візова наклейка у паспорті|Візова наклейка (більше не видається). Усі візи тепер видаються в еле…,uk.wikipedia.org
2026-09-23T16:15:20Z,Суперкубок_М'янми_з_футболу_2026,6041577,Nicolas Polischuck,3465,Створена сторінка: {{Картка:Футбольний матч |назва = Суперкубок М'янми з футболу 2026 |логотип = |ширина = |підпис = |турнір = [[Суперкубок М'янми з футболу]] |команда1 = [[Шан Юнайтед]] |команда1кра…,uk.wikipedia.org
2026-09-23T16:19:00Z,Крешнік_Краснічі,6041579,YarikUkraine,6947,Створена сторінка: {{в роботі}} {{Футболіст | ім'я = Крешнік Краснічі | зображення = | зображення розмір = | підпис = | місце-народження = [[Генефосс]] | країна-народження = [[Норвегія]] | дата-народ…,uk.wikipedia.org
2026-09-23T16:28:33Z,Польські_стрілецькі_дружини,6041582,Стефанко1982,7223,Створено шляхом перекладу сторінки «[[:pl:Special:Redirect/revision/78457244|Polskie Drużyny Strzeleckie]]»,uk.wikipedia.org
2026-09-23T16:31:06Z,Історія_Києва_(книга),6041585,Анатолій 2000,7665,"Створена сторінка: '''«Історія Києва»''' (у 3-х томах, 4-х книгах)&nbsp;— 3-томне видання з історії [[Київ|столиці України]], видане впродовж 1986—1987 років видавництвом «<nowiki/>[[Наукова думка]]<…",uk.wikipedia.org
2026-09-23T16:42:14Z,HMS_Waveney_(1903),6041588,V Ryabish,4601,"Створена сторінка: {{Edited}} {{Otheruses2|HMS Waveney}} {|{{Картка судна <!-- військові кораблі окрім підводних човнів --> |підпис картки= <!-- ключі: yes, nodab; або текст підпису --> |відображення…",uk.wikipedia.org
2026-09-23T16:43:19Z,Фатон_Малоку,6041589,YarikUkraine,5031,Створена сторінка: {{в роботі}} {{Футболіст | ім'я = Фатон Малоку | зображення = | зображення розмір = | підпис = | місце-народження = [[Гнілане]] | країна-народження = [[Косово]] | дата-народження =…,uk.wikipedia.org
2026-09-23T16:46:03Z,HMS_Waveney,6041590,V Ryabish,1351,"Створена сторінка: '''HMS Waveney'''&nbsp;— декілька кораблів [[Військово-морські сили Великої Британії|Військово-морських сил Великої Британії]], названих на честь річки Вейвені у східній Англії. *…",uk.wikipedia.org
2026-09-23T16:50:54Z,Звуження_через_рух,6041591,Oleksiy.golubov,995,Створено шляхом перекладу сторінки «[[:en:Special:Redirect/revision/1286637272|Motional narrowing]]»,uk.wikipedia.org
2026-09-23T17:01:11Z,Діон_Качурі,6041596,YarikUkraine,8749,Створена сторінка: {{в роботі}} {{Футболіст | ім'я = Діон Качурі | зображення = | зображення розмір = | підпис = | місце-народження = [[Баден (Ааргау)|Баден]] | країна-народження = [[Швейцарія]] | да…,uk.wikipedia.org
2026-09-23T17:02:08Z,Суперкубок_Сінгапуру_з_футболу_2026,6041597,Nicolas Polischuck,7051,Створена сторінка: {{Пишу}} {{Картка:Футбольний матч |назва = Суперкубок Сінгапуру з футболу 2026 |логотип = |ширина = |підпис = |турнір = [[Суперкубок Сінгапуру з футболу]] |команда1 = [[Лайон Сіті…,uk.wikipedia.org
2026-09-23T17:02:44Z,Візова_політика_Нової_Зеландії,6041598,OlviiaDem,102395,"Створена сторінка: {{Політика Нової Зеландії |expanded =Foreign}} Особи, які не є {{Не перекладено|Громадянство Нової Зеландії|громадянами Нової Зеландії|en|New Zealand nationality law}} і бажають в'…",uk.wikipedia.org
